"product-ratingsContainer","product-ratingsCount","product-separator","product-base href","img-responsive src","product-brand","product-product","product-sizeInventoryPresent","product-sizeInventoryPresent 2","product-sizeInventoryPresent 3","product-sizeInventoryPresent 4","product-sizeInventoryPresent 5","product-discountedPrice","product-strike","product-discountPercentage","product-sizeButton","product-sizeButton 2","product-sizeButton 3","product-sizeButton 4","product-sizeButton 5","xcelerator-plpXceleratorImageTag"
"4.3","2.6k","|","https://www.myntra.com/socks/hrx/hrx-by-hrithik-roshan-men-quarter-length-pack-of-3-rapid-dry-socks/2147326/buy","","HRX","Men Running Socks","Onesize","","","","","Rs. 269","Rs. 599","(55% OFF)","Onesize","","","","",""
"4.3","184","|","https://www.myntra.com/innerwear-vests/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-solid-antimicrobial-lifestyle-innerwear-vests/14097230/buy","","HRX by Hrithik Roshan","Lifestyle Innerwear Vests","S,","M,","L,","XL","","Rs. 329","Rs. 599","(45% OFF)","S","M","L","XL","",""
"4.9","12","|","https://www.myntra.com/socks/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-colourblocked-pack-of-3-ankle-length-socks/16543122/buy","","HRX by Hrithik Roshan","Men 3 Pcs Ankle Length Socks","11-13Y,","14-16Y","","","","Rs. 312","Rs. 549","(43% OFF)","11-13Y","14-16Y","","","",""
"4.5","21","|","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-mauve--white-brand-logo-print-rapid-dry-running-t-shirt/18657756/buy","","HRX by Hrithik Roshan","Brand Logo Running T-shirt","XS,","S,","M,","L,","XL","Rs. 409","Rs. 999","(59% OFF)","XS","S","M","L","XL",""
"","","","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-mauve-brand-logo-rapid-dry-running-t-shirt/18657772/buy","","HRX by Hrithik Roshan","Brand Logo Running T-shirt","XS,","S,","M,","L,","XL","Rs. 405","Rs. 699","(42% OFF)","XS","S","M","L","XL",""
"4.4","1.5k","|","https://www.myntra.com/socks/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-pack-of-3-loafershoeliner-socks/2510294/buy","","HRX by Hrithik Roshan","Women Lifestyle Socks","Onesize","","","","","Rs. 374","Rs. 499","(25% OFF)","Onesize","","","","",""
"4.4","1.5k","|","https://www.myntra.com/socks/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-pack-of-3-loafershoeliner-socks/2510294/buy","https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2510294/2018/5/4/11525415409166-HRX-by-Hrithik-Roshan-Women-Pack-of-3-Shoe-Liners-3551525415409074-1.jpg","HRX by Hrithik Roshan","Women Lifestyle Socks","Onesize","","","","","Rs. 374","Rs. 499","(25% OFF)","Onesize","","","","",""
"4.5","1.2k","|","https://www.myntra.com/socks/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-ankle-length-pack-of-3-socks/10986424/buy","https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10986424/2019/12/4/7bfec243-61cc-4d4b-a344-9870709d5a861575443389151-HRX-By-Hrithik-Roshan-Women-Set-of-3-Ankle-Length-Socks-9721-1.jpg","HRX by Hrithik Roshan","Women Lifestyle Socks","Onesize","","","","","Rs. 336","Rs. 449","(25% OFF)","Onesize","","","","",""
"4.2","2.6k","|","https://www.myntra.com/socks/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-ankle-length-pack-of-3-socks/2510303/buy","https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2510303/2018/6/6/e63b4b81-90c5-49d8-8a7d-79352e699cca1528285239602-HRX-by-Hrithik-Roshan-Men-Pack-of-3-Ankle-Length-Socks-21315-1.jpg","HRX by Hrithik Roshan","Men Lifestyle Socks","Onesize","","","","","Rs. 374","Rs. 499","(25% OFF)","Onesize","","","","",""
"4.4","2.2k","|","https://www.myntra.com/socks/hrx/hrx-by-hrithik-roshan-men-ankle-length-pack-of-3-terry-socks/1616311/buy","https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/1616311/2018/10/8/e49b0402-4e59-4627-a707-34685e8c86e51539005929931-HRX-by-Hrithik-Roshan-Active-Men-Set-of-3-Ankle-Length-Socks-1.jpg","HRX","Men Training Socks","Onesize","","","","","Rs. 389","Rs. 599","(35% OFF)","Onesize","","","","",""
"4.2","2.4k","|","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-black-printed-pure-cotton-t-shirt/1700889/buy","https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/1700889/2017/3/13/11489381574012-HRX-by-Hrithik-Roshan-Men-Black-Printed-T-shirt-5221489381573786-1.jpg","HRX by Hrithik Roshan","Printed Pure Cotton T-shirt","S,","M,","L,","XL,","XXL","Rs. 489","Rs. 699","(30% OFF)","S","M","L","XL","",""
"4.5","2.9k","|","https://www.myntra.com/socks/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-quarter-length-pack-of-3-terry-socks/1416750/buy","https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/1416750/2018/10/4/b4af563c-4b27-4aa8-9c95-66801c1304f11538653166274-HRX-by-Hrithik-Roshan-Active-Men-Set-of-3-Ankle-Length-Socks-1.jpg","HRX by Hrithik Roshan","Men Training Socks","Onesize","","","","","Rs. 419","Rs. 599","(30% OFF)","Onesize","","","","",""
"3.7","7","|","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-training-men-neon-orange-rapid-dry-geometric-tshirts/17860702/buy","https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17860702/2022/7/25/a2b76f31-90ad-4bb8-9d3f-4553eaa591111658741500699-HRX-by-Hrithik-Roshan-Men-Tshirts-3301658741500139-1.jpg","HRX by Hrithik Roshan","Training Rapid-Dry Tshirts","S,","M,","L,","XL,","XXL","Rs. 404","Rs. 899","(55% OFF)","S","M","L","XL","XXL","NEW SEASON"
