Mobile Phone,Total Ratings, Price ,Text1,Model Name,OS,Display,Display Type,Battery Capacity,,
"        Tecno Spark 9T (Turquoise Cyan, 4GB RAM, 64GB Storage)|50MP SuperNight Triple Camera|7GB Large RAM with Memory Fusion|6.6"" FHD+Dot Display|18W Flash Charger|Helio G35 Processor       ",19 ratings,,Tecno,Spark 9T,HiOS 7.6 based on Android 11,         6.6 inches    ,         IPS    ,5000,,
"        Lava Z21 (2GB RAM, 32GB ROM)-Cyan| Octa Core Processor| Stock Android 11| Powerful 3100 mAh Battery       ",360 ratings," ₹ 5,299.00 ",Lava,Lava Z21,Stock Android 11 Go,         5 inches    ,         FWVGA    ,3100,,
"        Samsung Galaxy A03 Core (Black, 2GB RAM, 32GB Storage) Without Offer       ",404 ratings,,Samsung,Samsung Galaxy A03 Core,Android GO 11.0,         6.5 inches    ,         LCD    ,5000,,
"        Lava X2 (2GB RAM, 32GB Storage) - Striped Cyan| Long Lasting 5000 mAh Battery| High Performance Octa Core Processor| Big 6.5 inch(16.5cm) Display HD+IPS Notch Display       ",979 ratings," ₹ 5,999.00 ",Lava,Lava X2,Stock Android 11 Go,         6.5 inches    ,         LCD    ,5000,,
"        OPPO A16e (Blue, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers       ",215 ratings," ₹ 9,999.00 ",Oppo,A16k,Android 11,         16.55 cm    ,         LCD    ,4230,,
"        Lava Z3 Pro (3GB RAM, 32GB Storage)- Cyan | High Performance Octa core Processor| Big 5000 mAh Battery | 8MP AI Dual Rear Camera       ",23 ratings," ₹ 6,999.00 ",Lava,Lava Z3Pro,Stock Android 11,         6.5 inches    ,         LCD    ,5000,,
"        MI REDMI 9i Sport (Coral Green, 64 GB) (4 GB RAM)       ",219 ratings,,MI,,Android 10.0,         6.53 inches    ,         5000 Milliamp Hours    ,         4 GB    ,,
"        Redmi 9A Sport (Carbon Black, 3GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery       ","1,086 ratings"," ₹ 7,999.00 ",Redmi,Redmi 9A Sport,MIUI 12,         6.53 inches    ,         hd+    ,5000,,
"        Redmi 9A Sport (Metallic Blue, 3GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery       ","2,030 ratings"," ₹ 7,999.00 ",Redmi,Redmi 9A Sport,MIUI 12,         6.53 inches    ,         hd+    ,5000,,
"        Realme C31 (Light Silver, 4GB RAM, 64GB Storage)       ",102 ratings,,Realme,C31,Android 11,5000,         4 GB    ,         4 GB    ,,
"        Jio Phone Next 32 GB ROM, 2 GB RAM, Black Smartphone       ",31 ratings,,Generic,LS1542QWN,Android 10.0,         5.45 inches    ,         HD+    ,         3500 Milliamp Hours    ,,
"        Tecno Spark 8C Turquoise Cyan (3GB+64GB) | Upto 6GB RAM |90Hz Refresh Rate |6.6""(16.7cm) HD+ Display | 5000mAh |13MP Dual Camera| IPX2 Splash Resistant       ","5,526 ratings"," ₹ 7,899.00 ",Tecno,Spark 8C,"HiOS 7.6 based on Android 11, Android 10.0",         6.6 inches    ,         IPS    ,5000,,
"        Lava Z3 Pro (3GB RAM, 32GB Storage)- Blue | High Performance Octa core Processor| Big 5000 mAh Battery | 8MP AI Dual Rear Camera       ",23 ratings," ₹ 6,999.00 ",Lava,Lava Z3Pro,Stock Android 11,         6.5 inches    ,         LCD    ,5000,,
"        realme C11 2021 (Cool Blue, 4GB RAM, 64GB Storage), Medium (RMX3231)       ","11,907 ratings",,Realme,C21 2021,Android 11,         6.52 inches    ,         LCD    ,5000,,
"        Lava X2 (2GB RAM, 32GB Storage) - Striped Blue| Long Lasting 5000 mAh Battery| High Performance Octa Core Processor| Big 6.5 inch(16.5cm) Display HD+IPS Notch Display       ",979 ratings," ₹ 5,999.00 ",Lava,Lava X2,Stock Android 11 Go,         6.5 inches    ,         LCD    ,5000,,
"        Nokia 5710 XpressAudio keypad Phone, with inbuilt Wireless Earbuds, MP3 Player, Wireless FM Radio, Dedicated Music Buttons, and Bigger Battery | Black       ",,,Nokia,,,     Appario Retail Private Ltd   ,     0.05 GB   ,"     Bluetooth, USB   ",,
"        (Renewed) realme narzo 50i (Mint Green, 4GB RAM+64GB Storage) - 6.5"" inch Large Display | 5000mAh Battery Without Offers       ",30 ratings," ₹ 7,490.00 ",Oppo,Realme narzo 50i,Android,,,,,
