Model_Name,Display_Final,Battery_Final,Front_Camera_Final,RAM_Final,Rear_Camera_Final,Processor_Final,Price,,,,,,,,,,,,,,,,,,,,,,,
Infinix Smart HD 2021,Screen Size 6.1 inches (15.49 cm),Battery 5000 mAh,Front Camera 5 MP,RAM 2 GB,Rear Camera 8 MP,"Processor Quad core, 1.8 GHz, Cortex A53","6,499",,,,,,,,,,,,,,,,,,,,,,,
OPPO A5s,Screen Size 6.2 inches (15.75 cm),Battery 4230 mAh,Front Camera 8 MP,RAM 2 GB,Rear Camera 13 MP + 2 MP,"Processor Octa core, 2.3 GHz, Cortex A53","7,990",,,,,,,,,,,,,,,,,,,,,,,
Asus Zenfone Max Pro M1,Screen Size 5.99 inches (15.21 cm),Battery 5000 mAh,Front Camera 8 MP,RAM 4 GB,Rear Camera 13 MP + 5 MP,"Processor Octa core (1.8 GHz, Quad core, Kryo 260 + 1.6 GHz, Quad core, Kryo 260)","8,999",,,,,,,,,,,,,,,,,,,,,,,
Samsung Metro B350E,Screen Size 2.4 inches (6.1 cm),Battery 1200 mAh,0,RAM 32 MB,Rear Camera 2 MP,0,"3,000",,,,,,,,,,,,,,,,,,,,,,,
Infinix Hot 9,Screen Size 6.6 inches (16.76 cm),Battery 5000 mAh,Front Camera 8 MP,RAM 4 GB,Rear Camera 13 MP + 2 MP + 2 MP,"Processor Octa core, 2 GHz, Cortex A53","9,499",,,,,,,,,,,,,,,,,,,,,,,
Tecno Spark Go,Screen Size 6.1 inches (15.49 cm),Battery 3000 mAh,Front Camera 5 MP,RAM 2 GB,Rear Camera 8 MP,"Processor Quad core, 2 GHz, Cortex A53","5,599",,,,,,,,,,,,,,,,,,,,,,,
Samsung Guru Music 2,Screen Size 2.0 inches (5.08 cm),Battery 800 mAh,0,0,0,"Processor Single core, 208 MHz","1,450",,,,,,,,,,,,,,,,,,,,,,,
Nokia 225 2020,Screen Size 2.4 inches (6.1 cm),Battery 1150 mAh,0,RAM 64 MB,Rear Camera 0.3 MP,Processor Unisoc UMS9117,"4,399",,,,,,,,,,,,,,,,,,,,,,,
Realme C2,Screen Size 6.1 inches (15.49 cm),Battery 4000 mAh,Front Camera 5 MP,RAM 2 GB,Rear Camera 13 MP + 2 MP,"Processor Octa core, 2 GHz, Cortex A53","6,499",,,,,,,,,,,,,,,,,,,,,,,
Tecno Spark Power 2,Screen Size 7.0 inches (17.78 cm),Battery 6000 mAh,Front Camera 16 MP,RAM 4 GB,Rear Camera 16 MP + 5 MP + 2 MP,"Processor Octa core, 2 GHz, Cortex A53","9,999",,,,,,,,,,,,,,,,,,,,,,,
